Date,PM10,SO2,CO,O3,NO2
20131028,60.375,0.005,0.6,0.014,0.04
20131029,64.958,0.006,0.579,0.02,0.035
20131030,52.875,0.006,0.487,0.031,0.029
20131102,62.208,0.007,0.583,0.018,0.037
20131103,64.167,0.006,0.629,0.015,0.034
20131104,72.542,0.006,0.625,0.035,0.028
20131106,67.333,0.006,0.7,0.009,0.041
20131107,67.625,0.005,0.475,0.022,0.031
20131108,42.125,0.005,0.408,0.016,0.03
20131109,42.833,0.005,0.429,0.015,0.032
20131110,28.667,0.004,0.337,0.025,0.017
20131111,29.542,0.004,0.325,0.02,0.021
20131113,51.167,0.005,0.496,0.012,0.032
20131114,49.25,0.005,0.529,0.013,0.033
20131115,53.292,0.005,0.504,0.021,0.028
20131116,95.542,0.007,0.683,0.02,0.036
20131117,76.125,0.005,0.446,0.025,0.022
20131119,31.708,0.004,0.329,0.019,0.017
20131120,36.583,0.004,0.337,0.017,0.02
20131121,40.042,0.004,0.379,0.016,0.023
20131123,70.667,0.006,0.558,0.016,0.027
20131124,95.292,0.01,0.571,0.017,0.039
20131125,37.333,0.005,0.454,0.022,0.018
20131127,48.042,0.006,0.438,0.017,0.024
20131128,30.708,0.004,0.35,0.015,0.019
20131129,41.333,0.004,0.383,0.014,0.021
20131130,49.25,0.004,0.446,0.016,0.024
20131201,82.875,0.006,0.6,0.015,0.029
20131202,56.75,0.005,0.433,0.019,0.025
20131204,102.458,0.008,0.658,0.018,0.036
20131205,77.208,0.008,0.642,0.015,0.036
20131206,120.958,0.008,0.688,0.017,0.031
20131207,54.333,0.006,0.492,0.017,0.024
20131208,63.375,0.006,0.646,0.01,0.033
20131209,64.792,0.005,0.888,0.008,0.038
20131211,42.333,0.004,0.425,0.017,0.019
20131212,35.917,0.005,0.417,0.015,0.025
20131213,38.917,0.004,0.408,0.017,0.019
20131214,44.208,0.005,0.446,0.015,0.02
20131215,53.542,0.005,0.463,0.015,0.021
20131217,37.792,0.005,0.496,0.01,0.025
20131218,31.458,0.004,0.388,0.018,0.018
20131219,39.458,0.004,0.417,0.016,0.017
20131220,52.667,0.004,0.467,0.016,0.016
20131221,54.375,0.004,0.433,0.017,0.019
20131222,58.542,0.005,0.504,0.017,0.024
20131224,52.583,0.005,0.537,0.012,0.032
20131225,38.917,0.005,0.517,0.012,0.032
20131226,72.0,0.006,0.558,0.014,0.028
20131227,55.625,0.005,0.488,0.021,0.019
20131228,26.583,0.003,0.346,0.019,0.019
20131229,35.083,0.004,0.413,0.019,0.018
